id,order_id,payment_method,amount
200118,86693,bank_transfer,1505
200119,33326,gift_card,3616
200120,13545,gift_card,1444
200121,67931,bank_transfer,9314
200122,72171,coupon,8258
200123,13945,credit_card,6459
200124,84854,coupon,6896
200125,1176,credit_card,8164
200126,92985,coupon,3992
200127,71611,credit_card,8076
200128,42663,gift_card,1965
200129,83734,bank_transfer,9475
200130,47348,credit_card,7460
200131,52815,bank_transfer,7142
200132,61374,gift_card,3205
200133,71977,credit_card,675
200134,24944,gift_card,730
200135,59885,coupon,996
200136,47364,coupon,696
200137,8548,gift_card,6326
200138,63948,credit_card,5623
200139,28471,coupon,2338
200140,45621,bank_transfer,4168
200141,72285,gift_card,7991
200142,75495,gift_card,3720
200143,32705,credit_card,4492
200144,87821,gift_card,1490
200145,29323,coupon,9258
200146,51317,bank_transfer,5867
200147,64630,bank_transfer,3038
200148,65785,coupon,1938
200149,77714,gift_card,3910
200150,71994,coupon,4473
200151,59557,coupon,5483
200152,30785,gift_card,7990
200153,16482,coupon,737
200154,49699,gift_card,693
200155,13279,credit_card,9563
200156,42080,credit_card,9150
200157,60780,coupon,6496
200158,81642,bank_transfer,5911
200159,83175,gift_card,5816
200160,65190,gift_card,3743
200161,43331,gift_card,5271
200162,10160,bank_transfer,5565
200163,10922,credit_card,540
200164,5398,coupon,3917
200165,49036,credit_card,4262
200166,49435,credit_card,3566
200167,17562,coupon,3594
200168,89309,coupon,3962
200169,89606,gift_card,3450
200170,38688,bank_transfer,8928
200171,26339,bank_transfer,5207
200172,35905,gift_card,2976
200173,54724,credit_card,3598
200174,9200,credit_card,471
200175,94458,coupon,142
200176,26718,credit_card,678
200177,90838,gift_card,2690
200178,12881,credit_card,7313
200179,61886,gift_card,6276
200180,62963,coupon,6171
200181,83314,coupon,3660
200182,12060,bank_transfer,8368
200183,50250,credit_card,891
200184,65356,coupon,2236
200185,35679,bank_transfer,9619
200186,89524,bank_transfer,8557
200187,43689,gift_card,6019
200188,8134,credit_card,4921
200189,89261,credit_card,7926
200190,82548,gift_card,2309
200191,27100,gift_card,5073
200192,19093,gift_card,377
200193,46715,bank_transfer,7002
200194,42468,coupon,9935
200195,32665,credit_card,9016
200196,40718,bank_transfer,8693
200197,74960,bank_transfer,4542
200198,15118,bank_transfer,9761
200199,18737,credit_card,9779
200200,39016,coupon,6028
200201,25604,gift_card,3394
200202,30749,coupon,3712
200203,7054,credit_card,5492
200204,78362,coupon,9640
200205,20311,gift_card,5208
200206,24920,bank_transfer,707
200207,89646,credit_card,6088
200208,88216,bank_transfer,2728
200209,41911,gift_card,81
200210,17438,credit_card,4364
200211,41729,gift_card,6241
200212,97533,credit_card,6027
200213,25739,coupon,9102
200214,18600,coupon,2135
200215,52150,bank_transfer,5734
200216,67076,coupon,1128
200217,24376,credit_card,5454
200218,94195,gift_card,3453
200219,25836,coupon,2894
200220,7890,gift_card,7758
200221,92301,credit_card,6229
200222,64937,coupon,1988
200223,3998,gift_card,5295
200224,83898,bank_transfer,8311
200225,94675,credit_card,6037
200226,44797,gift_card,6224
200227,77630,coupon,1964
200228,39645,bank_transfer,6315
200229,20904,bank_transfer,4366
200230,80106,credit_card,3110
200231,91602,credit_card,5634
200232,61078,bank_transfer,5892
200233,73311,bank_transfer,1149
200234,32427,coupon,682
200235,69580,gift_card,3942
200236,21002,credit_card,6531
200237,27256,bank_transfer,7552
200238,3175,coupon,523
200239,6784,gift_card,8983
200240,72539,gift_card,3530
200241,8039,coupon,8142
200242,49238,bank_transfer,1067
200243,26896,coupon,7462
200244,8914,coupon,9394
200245,70750,gift_card,1719
200246,59128,credit_card,1157
200247,40169,gift_card,7571
200248,83773,credit_card,2068
200249,36878,bank_transfer,5328
200250,74510,gift_card,7937
200251,52838,credit_card,5608
200252,27073,gift_card,3211
200253,22815,credit_card,4398
200254,31339,gift_card,7136
200255,48390,credit_card,104
200256,26878,credit_card,2820
200257,74435,gift_card,3502
200258,87404,bank_transfer,3193
200259,79443,gift_card,899
200260,10075,gift_card,6671
200261,37937,gift_card,7863
200262,45757,coupon,2213
200263,7413,gift_card,505
200264,830,coupon,8976
200265,63747,bank_transfer,1670
200266,80282,credit_card,4357
200267,15481,gift_card,8065
200268,29043,bank_transfer,4087
200269,17598,coupon,3386
200270,81824,coupon,1646
200271,69028,credit_card,7434
200272,11783,gift_card,2728
200273,25333,gift_card,9219
200274,97632,credit_card,6462
200275,88786,credit_card,6875
200276,65524,bank_transfer,5047
200277,49014,credit_card,9299
200278,11905,credit_card,2087
200279,76748,credit_card,476
200280,99024,gift_card,4796
200281,21658,bank_transfer,1051
200282,94478,credit_card,6822
200283,88811,credit_card,6250
200284,89584,credit_card,847
200285,12504,credit_card,3602
200286,5211,credit_card,233
200287,18203,coupon,2169
200288,21843,coupon,7800
200289,86912,coupon,5991
200290,86119,bank_transfer,5614
200291,23316,coupon,2379
200292,45478,gift_card,9969
200293,75395,bank_transfer,5302
200294,69647,gift_card,8762
200295,9495,bank_transfer,5291
200296,25396,bank_transfer,4266
200297,28056,gift_card,1475
200298,69245,bank_transfer,8097
200299,77689,credit_card,8321
200300,56056,coupon,2259
200301,45233,credit_card,6127
200302,9691,gift_card,230
200303,64554,credit_card,292
200304,39215,bank_transfer,843
200305,41302,credit_card,4887
200306,3067,credit_card,1775
200307,7562,credit_card,239
200308,76045,coupon,8846
200309,52018,credit_card,4447
200310,23944,credit_card,7196
200311,65699,gift_card,3043
200312,46974,gift_card,6061
200313,46660,coupon,9505
200314,35383,coupon,4721
200315,78750,coupon,4101
200316,313,coupon,3449
200317,49351,bank_transfer,240
200318,27371,bank_transfer,8929
200319,32095,credit_card,5893
200320,33485,bank_transfer,8160
200321,22833,gift_card,8564
200322,2330,credit_card,2936
200323,75312,credit_card,3212
200324,74365,credit_card,3901
200325,19562,coupon,2696
200326,74103,coupon,171
200327,45075,bank_transfer,7263
200328,22390,credit_card,816
200329,82360,bank_transfer,7777
200330,99680,gift_card,46
200331,72387,coupon,5973
200332,34482,gift_card,6500
200333,43210,credit_card,4884
200334,31802,gift_card,7221
200335,9715,coupon,9181
200336,24695,gift_card,649
200337,14612,gift_card,9196
200338,59568,bank_transfer,5646
200339,50680,coupon,4395
200340,55074,gift_card,7651
200341,6675,gift_card,4557
200342,40881,coupon,3449
200343,95560,bank_transfer,5346
200344,14517,bank_transfer,4905
200345,87136,credit_card,2480
200346,11695,bank_transfer,8571
200347,16524,bank_transfer,8560
200348,22856,bank_transfer,5186
200349,77281,credit_card,4912
200350,36655,gift_card,4188
200351,18437,gift_card,3904
200352,65956,gift_card,8451
200353,49454,coupon,1473
200354,90580,coupon,8760
200355,6819,bank_transfer,4499
200356,58980,coupon,8937
200357,50740,credit_card,5548
200358,65747,gift_card,3505
200359,5010,credit_card,1641
200360,73526,bank_transfer,6239
200361,60058,bank_transfer,1323
200362,9333,gift_card,3403
200363,13382,credit_card,4419
200364,80624,coupon,2177
200365,29423,credit_card,9577
200366,38408,credit_card,2431
200367,25687,gift_card,9460
200368,24208,gift_card,8267
200369,68879,coupon,2061
200370,60498,gift_card,1810
200371,76194,credit_card,5937
200372,80918,gift_card,3238
200373,50447,coupon,8520
200374,32057,credit_card,4740
200375,43652,credit_card,2724
200376,67889,coupon,7214
200377,52290,credit_card,3862
200378,95841,bank_transfer,1403
200379,56329,gift_card,83
200380,54854,coupon,7343
200381,10691,coupon,5009
200382,83593,bank_transfer,4639
200383,30523,coupon,3288
200384,73418,gift_card,4476
200385,82346,gift_card,3102
200386,82196,gift_card,1791
200387,37482,credit_card,5830
200388,41671,coupon,7397
200389,42942,gift_card,5025
200390,15172,bank_transfer,6059
200391,34141,coupon,4658
200392,51846,credit_card,9242
200393,18892,credit_card,4058
200394,96621,gift_card,8389
200395,61272,bank_transfer,3111
200396,65217,coupon,336
200397,9376,credit_card,4032
200398,10422,gift_card,8859
200399,59921,bank_transfer,2821
200400,62053,gift_card,4991
200401,77615,bank_transfer,9716
200402,2489,coupon,8900
200403,86543,coupon,4171
200404,13338,gift_card,9094
200405,81856,coupon,5092
200406,85066,credit_card,4520
200407,93915,credit_card,670
200408,54643,gift_card,8610
200409,76250,bank_transfer,9574
200410,26534,bank_transfer,6156
200411,99740,gift_card,4455
200412,95883,coupon,5800
200413,63083,coupon,6873
200414,29938,credit_card,6806
200415,7225,coupon,6261
200416,84546,gift_card,2398
200417,82129,bank_transfer,191
200418,4450,gift_card,2827
200419,52874,bank_transfer,3722
200420,48168,gift_card,1961
200421,69424,bank_transfer,5462
200422,90432,bank_transfer,6440
200423,36618,gift_card,7888
200424,28222,coupon,6751
200425,32450,credit_card,9457
200426,9784,coupon,8195
200427,98517,credit_card,152
200428,12238,gift_card,3696
200429,41779,gift_card,224
200430,60699,bank_transfer,2457
200431,64471,gift_card,9368
200432,70037,credit_card,9108
200433,97,bank_transfer,1673
200434,14621,gift_card,1750
200435,73889,gift_card,6039
200436,8412,coupon,6646
200437,41312,gift_card,9944
200438,64628,credit_card,5667
200439,58807,credit_card,6490
200440,38857,bank_transfer,2736
200441,21715,coupon,6005
200442,13839,gift_card,7518
200443,69455,bank_transfer,5860
200444,82328,coupon,6560
200445,99241,gift_card,5427
200446,61123,credit_card,3577
200447,48343,credit_card,2344
200448,56708,coupon,8005
200449,9385,gift_card,4480
200450,74298,gift_card,3481
200451,93974,bank_transfer,3975
200452,32898,gift_card,4584
200453,76182,gift_card,3324
200454,10886,coupon,7928
200455,85704,coupon,6702
200456,47819,coupon,782
200457,20278,bank_transfer,8414
200458,56807,gift_card,1447
200459,99053,coupon,3262
200460,49825,coupon,5684
200461,42546,bank_transfer,8151
200462,49011,gift_card,3109
200463,92817,bank_transfer,2204
200464,38938,bank_transfer,4122
200465,92493,credit_card,4136
200466,8784,gift_card,4146
200467,29729,coupon,9174
200468,31245,bank_transfer,2709
200469,78798,gift_card,9931
200470,75989,credit_card,9155
200471,61242,credit_card,5602
200472,35515,bank_transfer,1205
200473,1579,bank_transfer,4333
200474,98526,credit_card,2367
200475,32021,gift_card,4304
200476,67193,credit_card,2060
200477,51364,bank_transfer,3271
200478,42830,coupon,7641
200479,82192,credit_card,4960
200480,92835,gift_card,5758
200481,82745,bank_transfer,7447
200482,10614,gift_card,2181
200483,98545,bank_transfer,2163
200484,83464,credit_card,7226
200485,47849,gift_card,9520
200486,49952,bank_transfer,9111
200487,31767,coupon,3959
200488,96238,coupon,5920
200489,28401,credit_card,3064
200490,89512,coupon,2302
200491,93326,bank_transfer,6330
200492,31217,coupon,8189
200493,55030,bank_transfer,4330
200494,61312,credit_card,7212
200495,36610,coupon,2925
200496,60668,coupon,6316
200497,67281,gift_card,2752
200498,68518,bank_transfer,2895
200499,60426,coupon,1799
200500,663,credit_card,8001
200501,82937,credit_card,2044
200502,69502,coupon,2485
200503,24930,gift_card,7605
200504,83593,coupon,5176
200505,20914,coupon,1178
200506,1084,bank_transfer,5938
200507,67957,coupon,3637
200508,3783,credit_card,979
200509,72434,gift_card,7545
200510,21737,coupon,6894
200511,12477,bank_transfer,6212
200512,96686,coupon,8406
200513,68528,credit_card,6989
200514,39423,gift_card,4021
200515,55348,bank_transfer,3419
200516,60038,bank_transfer,5068
200517,15925,coupon,5094
200518,33456,bank_transfer,5455
200519,18487,coupon,1543
200520,16010,gift_card,3521
200521,88400,credit_card,3082
200522,19736,credit_card,745
200523,42929,coupon,6381
200524,96549,bank_transfer,9388
200525,59819,bank_transfer,9310
200526,61302,coupon,4275
200527,6205,gift_card,9508
200528,54693,bank_transfer,425
200529,13249,gift_card,5928
200530,90108,credit_card,4820
200531,3756,coupon,2062
200532,29329,gift_card,175
200533,7832,gift_card,9515
200534,41564,credit_card,6122
200535,67358,credit_card,3967
200536,32304,coupon,5528
200537,24080,credit_card,4135
200538,12837,coupon,1170
200539,81409,gift_card,4610
200540,81578,gift_card,4467
200541,2033,bank_transfer,5850
200542,83206,bank_transfer,7159
200543,54640,bank_transfer,3247
200544,2203,bank_transfer,1354
200545,90834,gift_card,7445
200546,38563,bank_transfer,839
200547,15021,coupon,4361
200548,34209,gift_card,2818
200549,21895,gift_card,7796
200550,78503,bank_transfer,6459
200551,50878,gift_card,5729
200552,31200,credit_card,2511
200553,81144,credit_card,1899
200554,33507,credit_card,9813
200555,89776,credit_card,3356
200556,9383,coupon,9083
200557,72646,gift_card,8056
200558,99556,coupon,2117
200559,39189,bank_transfer,157
200560,96905,credit_card,4863
200561,58229,gift_card,8157
200562,47749,gift_card,8365
200563,77205,gift_card,5680
200564,9778,coupon,1228
200565,78363,bank_transfer,2455
200566,35031,gift_card,3948
200567,64338,bank_transfer,6660
200568,82577,credit_card,4683
200569,34084,coupon,2106
200570,15898,coupon,5312
200571,37899,coupon,3531
200572,70556,gift_card,8290
200573,98507,coupon,7483
200574,70165,bank_transfer,3751
200575,15942,gift_card,5438
200576,15324,coupon,4464
200577,27233,bank_transfer,1130
200578,63141,bank_transfer,6582
200579,25714,credit_card,3923
200580,48502,bank_transfer,4630
200581,16270,credit_card,5117
200582,64162,coupon,1368
200583,68670,gift_card,3018
200584,50978,gift_card,4618
200585,34985,bank_transfer,9911
200586,32043,bank_transfer,4439
200587,12663,gift_card,94
200588,24568,bank_transfer,8243
200589,91460,coupon,4770
200590,3933,bank_transfer,9277
200591,59253,gift_card,8711
200592,7888,credit_card,1936
200593,38928,coupon,1731
200594,14676,coupon,5584
200595,55780,coupon,9543
200596,98658,coupon,8483
200597,70700,coupon,4427
200598,73427,bank_transfer,6112
200599,24096,credit_card,6510
200600,30806,coupon,7441
200601,63140,gift_card,6343
200602,49462,coupon,6350
200603,21803,credit_card,1150
200604,83488,gift_card,1992
200605,40887,gift_card,9304
200606,78589,credit_card,7564
200607,32870,coupon,7924
200608,9722,gift_card,3972
200609,37877,gift_card,9144
200610,14410,bank_transfer,1130
200611,88574,gift_card,6545
200612,7119,coupon,4130
200613,58830,credit_card,2386
200614,71020,credit_card,1815
200615,8554,bank_transfer,7397
200616,45031,gift_card,2598
200617,386,gift_card,8560
200618,17193,bank_transfer,2756
200619,41341,bank_transfer,9205
200620,47301,credit_card,3744
200621,77635,coupon,683
200622,29213,bank_transfer,10
200623,77064,gift_card,7800
200624,69774,credit_card,9696
200625,50879,coupon,1102
200626,67953,coupon,4907
200627,32589,bank_transfer,5181
200628,549,bank_transfer,5667
200629,89773,coupon,2546
200630,37906,bank_transfer,4760
200631,81422,credit_card,1324
200632,27666,credit_card,5952
200633,89269,bank_transfer,8477
200634,76723,gift_card,3800
200635,9026,coupon,5330
200636,96480,coupon,6279
200637,75774,credit_card,2696
200638,65075,coupon,7550
200639,87496,credit_card,3102
200640,7430,bank_transfer,1884
200641,58508,bank_transfer,1995
200642,81181,gift_card,1137
200643,10538,bank_transfer,4733
200644,85471,bank_transfer,69
200645,41238,gift_card,251
200646,53886,bank_transfer,2788
200647,88966,bank_transfer,9872
200648,18696,gift_card,6799
200649,36368,bank_transfer,7429
200650,79816,credit_card,2814
200651,91050,bank_transfer,672
200652,28491,coupon,8051
200653,849,gift_card,8041
200654,2557,bank_transfer,2868
200655,52278,bank_transfer,1367
200656,19949,credit_card,1061
200657,79769,coupon,3429
200658,88851,bank_transfer,5331
200659,73714,bank_transfer,2487
200660,545,coupon,4647
200661,95249,bank_transfer,5324
200662,68908,credit_card,4401
200663,8247,bank_transfer,9505
200664,2482,bank_transfer,3403
200665,2354,credit_card,4142
200666,8040,credit_card,3072
200667,80352,credit_card,9045
200668,51712,bank_transfer,781
200669,79032,gift_card,223
200670,32905,coupon,1735
200671,239,gift_card,1967
200672,92851,bank_transfer,7562
200673,99892,credit_card,4079
200674,69759,gift_card,4348
200675,25999,credit_card,7642
200676,29954,bank_transfer,9391
200677,41740,coupon,7324
200678,64093,bank_transfer,3293
200679,32737,credit_card,5203
200680,11867,gift_card,7262
200681,37659,bank_transfer,6712
200682,36369,credit_card,4214
200683,37467,credit_card,999
200684,22540,bank_transfer,6153
200685,89798,coupon,5502
200686,17435,credit_card,6203
200687,55733,credit_card,7069
200688,38022,gift_card,9011
200689,34121,gift_card,1747
200690,45588,credit_card,3935
200691,36492,credit_card,6439
200692,82130,bank_transfer,612
200693,8553,bank_transfer,5316
200694,47722,coupon,5300
200695,22570,coupon,4436
200696,52202,gift_card,9333
200697,70267,bank_transfer,6536
200698,34069,bank_transfer,4365
200699,11995,bank_transfer,932
200700,81360,bank_transfer,3813
200701,94587,credit_card,6865
200702,63110,coupon,5794
200703,78779,credit_card,4115
200704,25756,bank_transfer,966
200705,23671,credit_card,9174
200706,13010,coupon,4159
200707,690,gift_card,4084
200708,77466,bank_transfer,9065
200709,93554,coupon,726
200710,78882,gift_card,7279
200711,6671,credit_card,8788
200712,80371,coupon,5942
200713,12765,gift_card,6639
200714,19665,credit_card,8037
200715,1595,coupon,9517
200716,29476,credit_card,2557
200717,30861,coupon,2018
200718,68875,bank_transfer,7409
200719,93995,gift_card,2234
200720,35400,bank_transfer,9635
200721,61689,bank_transfer,6750
200722,80264,bank_transfer,5126
200723,98428,gift_card,8770
200724,36251,credit_card,2048
200725,40106,coupon,8503
200726,94885,gift_card,5720
200727,21980,bank_transfer,3426
200728,93975,coupon,1312
200729,55647,bank_transfer,9781
200730,45680,coupon,7543
200731,51038,coupon,2916
200732,11091,bank_transfer,1220
200733,1983,credit_card,2073
200734,45523,bank_transfer,4016
200735,90832,coupon,1878
200736,14001,bank_transfer,7926
200737,40211,bank_transfer,9983
200738,7784,bank_transfer,3364
200739,97765,credit_card,1091
200740,11628,credit_card,9255
200741,930,bank_transfer,3718
200742,4912,bank_transfer,6256
200743,33024,gift_card,785
200744,71902,coupon,2211
200745,52692,credit_card,7056
200746,21309,coupon,7461
200747,61034,gift_card,7262
200748,7552,credit_card,1844
200749,51512,bank_transfer,2304
200750,85414,bank_transfer,6907
200751,64690,bank_transfer,9010
200752,63904,bank_transfer,589
200753,97808,bank_transfer,8898
200754,21578,coupon,1021
200755,73005,bank_transfer,2893
200756,39224,credit_card,2083
200757,55536,credit_card,3994
200758,38874,gift_card,8030
200759,80353,gift_card,7210
200760,29271,bank_transfer,4723
200761,66212,credit_card,5452
200762,83929,coupon,6406
200763,8227,credit_card,7957
200764,7791,coupon,3278
200765,26741,credit_card,2998
200766,25706,coupon,4806
200767,24219,bank_transfer,5480
200768,21450,credit_card,1408
200769,97823,gift_card,287
200770,13013,credit_card,2510
200771,8086,credit_card,6643
200772,66943,credit_card,8427
200773,20944,bank_transfer,6538
200774,43120,bank_transfer,9221
200775,19349,credit_card,1431
200776,70832,bank_transfer,5638
200777,28728,coupon,922
200778,32609,bank_transfer,9103
200779,6825,credit_card,2788
200780,63701,bank_transfer,1415
200781,82159,credit_card,120
200782,34999,credit_card,6803
200783,70240,coupon,5203
200784,47954,credit_card,6680
200785,85537,coupon,291
200786,68444,bank_transfer,8195
200787,1408,credit_card,9722
200788,99129,gift_card,864
200789,21507,gift_card,3084
200790,15282,credit_card,9350
200791,52510,credit_card,9616
200792,56360,gift_card,4311
200793,94522,credit_card,3648
200794,27024,gift_card,4751
200795,38505,bank_transfer,8282
200796,8942,coupon,8995
200797,29605,bank_transfer,9200
200798,61673,bank_transfer,712
200799,94673,credit_card,9052
200800,71004,gift_card,5825
200801,69194,bank_transfer,5947
200802,47887,gift_card,8951
200803,99770,bank_transfer,6627
200804,90225,coupon,9358
200805,96607,coupon,5834
200806,99380,coupon,1102
200807,41639,credit_card,9808
200808,8511,coupon,7454
200809,30357,bank_transfer,7997
200810,18994,coupon,2178
200811,8841,credit_card,8779
200812,6178,bank_transfer,611
200813,53497,gift_card,7652
200814,38935,gift_card,2822
200815,9570,credit_card,9576
200816,4904,credit_card,3585
200817,36297,bank_transfer,929
200818,57970,gift_card,3073
200819,75027,credit_card,9260
200820,7615,coupon,2863
200821,31071,gift_card,5339
200822,32157,coupon,599
200823,34965,bank_transfer,7879
200824,71582,coupon,1395
200825,83352,gift_card,1623
200826,14977,bank_transfer,3593
200827,94906,credit_card,1271
200828,29890,gift_card,9368
200829,37644,gift_card,666
200830,53355,credit_card,3401
200831,13306,gift_card,8418
200832,42535,credit_card,5642
200833,40277,gift_card,9545
200834,9962,gift_card,9504
200835,14081,gift_card,6897
200836,9303,bank_transfer,6823
200837,36005,coupon,7978
200838,64282,credit_card,4735
200839,96437,coupon,1263
200840,65123,bank_transfer,7335
200841,56533,bank_transfer,4324
200842,76084,credit_card,6582
200843,45335,credit_card,5831
200844,76103,bank_transfer,6999
200845,51259,credit_card,543
200846,92111,coupon,9223
200847,69746,gift_card,642
200848,85915,gift_card,1828
200849,66670,gift_card,6282
200850,59270,bank_transfer,2723
200851,58521,coupon,8856
200852,55040,coupon,8118
200853,80197,credit_card,1330
200854,88158,credit_card,6424
200855,27514,coupon,1459
200856,85157,coupon,748
200857,29884,coupon,6947
200858,92696,bank_transfer,7039
200859,94185,coupon,6982
200860,78732,coupon,3319
200861,96623,credit_card,2234
200862,2491,gift_card,4663
200863,54927,coupon,3475
200864,18118,credit_card,8150
200865,16063,coupon,7074
200866,8967,credit_card,3637
200867,92086,gift_card,7296
200868,34232,gift_card,7319
200869,47370,gift_card,5278
200870,17348,bank_transfer,2707
200871,50929,coupon,1531
200872,93805,coupon,9013
200873,66168,coupon,3548
200874,87319,gift_card,203
200875,92771,coupon,6910
200876,75756,bank_transfer,8560
200877,15080,bank_transfer,6466
200878,55010,coupon,9064
200879,92228,bank_transfer,9011
200880,85670,coupon,8975
200881,22918,credit_card,6020
200882,90931,coupon,6860
200883,5597,coupon,3108
200884,50393,gift_card,7615
200885,1235,gift_card,2633
200886,88774,credit_card,5666
200887,37436,bank_transfer,7630
200888,17503,credit_card,3585
200889,32422,credit_card,5578
200890,54764,coupon,6554
200891,990,gift_card,2406
200892,10886,gift_card,5780
200893,52861,coupon,7765
200894,90683,coupon,4459
200895,13540,coupon,7120
200896,17020,credit_card,8956
200897,79241,credit_card,6524
200898,48284,credit_card,9936
200899,90807,coupon,8142
200900,9915,credit_card,432
200901,25371,credit_card,7520
200902,12248,gift_card,8546
200903,24109,gift_card,6451
200904,42112,bank_transfer,4279
200905,85769,coupon,700
200906,30162,coupon,9582
200907,24549,coupon,3197
200908,40114,credit_card,5742
200909,32744,bank_transfer,9102
200910,97219,credit_card,6343
200911,78102,coupon,1702
200912,17961,coupon,2083
200913,14072,gift_card,7232
200914,48986,credit_card,253
200915,73394,coupon,6749
200916,88238,credit_card,9945
200917,17157,coupon,7885
200918,79100,coupon,6427
200919,14306,credit_card,7599
200920,51941,gift_card,2280
200921,38281,bank_transfer,8147
200922,69229,coupon,7633
200923,56169,bank_transfer,8047
200924,11457,gift_card,8823
200925,3226,gift_card,7598
200926,71341,bank_transfer,9950
200927,51953,coupon,5738
200928,89806,gift_card,3049
200929,52504,credit_card,4377
200930,55690,bank_transfer,7453
200931,3353,coupon,8478
200932,96927,gift_card,2711
200933,60529,coupon,7767
200934,86536,coupon,8143
200935,10273,gift_card,3258
200936,39129,bank_transfer,7612
200937,90878,coupon,9798
200938,36382,gift_card,1908
200939,16894,coupon,6489
200940,80402,credit_card,4528
200941,32017,bank_transfer,1309
200942,33085,coupon,1602
200943,389,bank_transfer,5455
200944,29120,bank_transfer,3164
200945,65975,bank_transfer,3015
200946,55936,coupon,2144
200947,28405,coupon,110
200948,1494,credit_card,8402
200949,37729,gift_card,2355
200950,54487,gift_card,7441
200951,66179,credit_card,8979
200952,82716,coupon,720
200953,33653,gift_card,539
200954,66645,coupon,5732
200955,74666,credit_card,7136
200956,94365,credit_card,2449
200957,24214,credit_card,1615
200958,4888,credit_card,334
200959,80224,bank_transfer,5639
200960,62941,bank_transfer,2494
200961,21295,credit_card,7221
200962,47538,credit_card,4938
200963,96362,gift_card,1302
200964,78694,gift_card,8719
200965,89466,coupon,48
200966,44805,credit_card,4213
200967,12641,gift_card,151
200968,52513,bank_transfer,6250
200969,41969,bank_transfer,9965
200970,67107,bank_transfer,4803
200971,32168,bank_transfer,9485
200972,63070,coupon,6907
200973,13722,gift_card,8051
200974,33195,coupon,9290
200975,22325,credit_card,4607
200976,371,gift_card,7578
200977,69792,gift_card,6705
200978,36315,gift_card,1073
200979,11661,gift_card,192
200980,81147,credit_card,341
200981,66469,credit_card,889
200982,25184,credit_card,9294
200983,8599,bank_transfer,4379
200984,16457,credit_card,8189
200985,96705,coupon,5431
200986,35282,coupon,8220
200987,39799,gift_card,6560
200988,29207,bank_transfer,2560
